payment_method,unit_price,quantity,total_amount,hour_of_purchase,day_of_week,has_notes,ticket_tier,time_since_purchase_hours,label
1,50.0,2,100.0,17,2,1,2,6.3,1
2,35.0,2,70.0,3,0,0,1,183.1,0
3,25.0,4,100.0,2,5,0,1,386.0,0
3,25.0,2,50.0,22,5,0,1,549.6,0
0,47.0,1,47.0,18,5,1,2,4.7,1
3,22.0,3,66.0,18,2,0,1,509.6,0
3,30.0,1,30.0,20,1,0,1,265.8,0
2,35.0,1,35.0,21,4,0,1,509.6,0
2,12.0,1,12.0,18,4,0,0,52.4,0
3,22.0,2,44.0,13,4,0,1,277.5,0
3,12.0,1,12.0,10,4,0,0,664.9,0
0,15.0,2,30.0,20,0,1,0,2.3,1
3,15.0,3,45.0,14,4,0,0,611.7,0
2,50.0,2,100.0,4,1,0,2,150.9,0
0,15.0,1,15.0,18,4,1,0,6.4,1
3,35.0,1,35.0,9,4,0,1,221.5,0
3,20.0,1,20.0,20,0,0,0,94.8,0
0,25.0,1,25.0,19,3,1,1,0.9,1
1,30.0,1,30.0,18,4,1,1,2.4,1
3,12.0,1,12.0,4,4,0,0,154.2,0
1,15.0,2,30.0,8,3,1,0,4.3,1
2,12.0,2,24.0,11,5,0,0,164.4,0
3,50.0,1,50.0,22,1,0,2,576.8,0
1,25.0,2,50.0,15,5,1,0,1.0,1
1,22.0,1,22.0,19,6,1,1,1.9,1
3,30.0,4,120.0,6,4,0,1,520.8,0
3,15.0,1,15.0,22,6,0,0,394.2,0
2,35.0,2,70.0,19,6,0,1,576.6,0
1,50.0,1,50.0,18,3,1,2,1.6,1
0,55.0,1,55.0,19,4,0,2,1.5,1
0,15.0,2,30.0,17,6,1,0,4.7,1
3,50.0,2,100.0,14,5,0,2,224.4,0
3,30.0,4,120.0,11,1,0,1,95.1,0
3,47.0,1,47.0,21,1,0,2,77.8,0
1,12.0,2,24.0,12,3,1,0,7.4,1
0,15.0,1,15.0,18,3,1,0,5.0,1
3,47.0,1,47.0,16,4,0,2,432.6,0
3,12.0,1,12.0,16,1,0,0,567.2,0
0,12.0,3,36.0,16,3,1,0,1.1,1
3,25.0,2,50.0,16,5,0,1,49.4,0
3,12.0,2,24.0,16,0,0,0,302.9,0
0,55.0,2,110.0,19,5,1,2,4.4,1
2,22.0,2,44.0,23,1,0,1,160.5,0
2,35.0,6,210.0,1,3,0,1,584.5,0
2,20.0,1,20.0,22,1,0,0,647.8,0
0,20.0,1,20.0,18,4,1,0,7.3,1
3,50.0,1,50.0,5,5,0,2,562.6,0
3,12.0,2,24.0,23,2,0,0,709.8,0
3,12.0,2,24.0,6,1,0,0,175.7,0
2,22.0,3,66.0,17,5,0,1,392.6,0
0,60.0,2,120.0,1,5,1,2,1.5,1
3,35.0,1,35.0,16,6,0,1,315.5,0
2,12.0,1,12.0,18,5,0,0,194.8,0
3,35.0,5,175.0,22,4,0,1,485.9,0
3,12.0,2,24.0,16,3,0,0,369.5,0
3,25.0,2,50.0,10,5,0,0,440.4,0
3,47.0,3,141.0,18,4,0,2,243.0,0
3,35.0,2,70.0,23,5,0,1,551.8,0
3,35.0,1,35.0,14,6,0,1,506.4,0
3,15.0,2,30.0,6,4,1,0,47.6,0
1,35.0,1,35.0,5,2,1,1,3.9,1
2,25.0,2,50.0,4,4,0,0,393.1,0
0,15.0,1,15.0,17,6,0,0,7.1,1
2,50.0,3,150.0,17,0,0,2,677.6,0
3,30.0,6,180.0,15,4,0,1,632.1,0
0,60.0,2,120.0,17,0,1,2,2.7,1
0,55.0,1,55.0,16,4,1,2,5.6,1
1,60.0,3,180.0,17,6,0,2,7.3,1
3,15.0,1,15.0,12,5,0,0,107.8,0
2,30.0,2,60.0,14,3,0,1,174.6,0
1,12.0,1,12.0,13,6,1,0,6.6,1
0,15.0,1,15.0,16,5,1,0,2.5,1
3,15.0,1,15.0,1,4,0,0,308.3,0
0,55.0,1,55.0,19,5,1,2,7.9,1
3,22.0,4,88.0,12,1,0,1,209.9,0
2,30.0,2,60.0,12,6,0,1,509.4,0
0,15.0,2,30.0,19,5,1,0,0.5,1
0,55.0,1,55.0,0,3,1,2,2.7,1
3,30.0,3,90.0,15,3,1,1,98.5,0
3,12.0,2,24.0,21,5,0,0,676.3,0
0,60.0,2,120.0,5,5,1,2,1.1,1
3,20.0,3,60.0,6,5,0,0,69.7,0
2,12.0,2,24.0,3,2,0,0,320.6,0
1,47.0,2,94.0,15,6,0,2,1.5,1
3,15.0,2,30.0,5,2,0,0,553.0,0
2,25.0,4,100.0,23,2,1,1,280.5,0
2,35.0,1,35.0,13,6,0,1,393.1,0
3,25.0,2,50.0,13,4,0,0,440.4,0
3,47.0,2,94.0,20,0,0,2,434.8,0
3,60.0,2,120.0,5,5,0,2,227.0,0
0,12.0,1,12.0,10,4,1,0,4.8,1
2,15.0,4,60.0,1,3,0,0,395.8,0
3,25.0,3,75.0,13,5,0,0,506.5,0
0,50.0,1,50.0,20,5,1,2,0.9,1
0,20.0,1,20.0,17,5,1,0,5.5,1
3,30.0,2,60.0,10,2,0,1,528.5,0
0,15.0,1,15.0,15,5,1,0,6.4,1
3,20.0,2,40.0,2,2,0,0,80.7,0
3,25.0,1,25.0,23,4,1,0,320.1,0
3,30.0,2,60.0,20,2,0,1,299.3,0
3,50.0,2,100.0,11,5,0,2,291.2,0
0,50.0,1,50.0,15,0,1,2,7.8,1
3,12.0,2,24.0,6,3,0,0,274.0,0
0,15.0,1,15.0,17,0,1,0,5.0,1
3,25.0,1,25.0,9,5,0,0,489.9,0
2,35.0,2,70.0,10,4,0,1,536.5,0
0,15.0,3,45.0,17,0,1,0,0.8,1
3,35.0,1,35.0,20,6,0,1,85.6,0
0,15.0,2,30.0,20,3,1,0,5.3,1
2,22.0,5,110.0,12,0,0,1,123.9,0
3,30.0,1,30.0,4,5,1,1,694.5,0
3,25.0,3,75.0,7,5,0,0,625.8,0
3,25.0,2,50.0,20,0,0,0,488.2,0
0,47.0,1,47.0,19,5,1,2,6.4,1
0,50.0,1,50.0,19,4,1,2,7.1,1
2,12.0,2,24.0,11,2,0,0,448.4,0
2,30.0,2,60.0,10,4,0,1,444.0,0
1,20.0,1,20.0,19,4,1,0,6.6,1
3,30.0,3,90.0,5,0,0,1,543.8,0
3,50.0,1,50.0,3,1,0,2,669.2,0
3,35.0,3,105.0,13,5,0,1,237.9,0
3,30.0,4,120.0,10,1,0,1,109.8,0
2,47.0,1,47.0,3,5,0,2,319.5,0
0,15.0,1,15.0,18,3,1,0,7.1,1
1,55.0,1,55.0,17,5,1,2,2.4,1
3,12.0,1,12.0,0,2,0,0,319.1,0
2,22.0,1,22.0,14,4,0,1,184.3,0
3,12.0,2,24.0,2,5,0,0,439.5,0
0,25.0,1,25.0,10,5,0,0,5.9,1
3,15.0,1,15.0,0,5,0,0,181.8,0
3,30.0,2,60.0,7,1,0,1,636.5,0
3,35.0,3,105.0,5,0,0,1,412.2,0
0,25.0,1,25.0,18,3,1,0,1.8,1
3,60.0,1,60.0,15,6,0,2,290.2,0
3,22.0,1,22.0,20,5,0,1,88.7,0
1,20.0,1,20.0,3,2,0,0,2.8,1
3,20.0,4,80.0,22,6,0,0,679.9,0
0,15.0,2,30.0,20,5,1,0,1.4,1
2,15.0,2,30.0,13,6,0,0,80.3,0
3,50.0,4,200.0,1,6,0,2,116.2,0
0,25.0,1,25.0,20,1,1,0,6.7,1
0,25.0,1,25.0,20,6,1,0,3.7,1
2,15.0,1,15.0,1,2,0,0,476.5,0
3,25.0,2,50.0,23,3,0,0,231.0,0
3,60.0,6,360.0,0,1,0,2,378.6,0
3,20.0,4,80.0,17,4,0,0,115.0,0
2,15.0,1,15.0,21,2,0,0,694.8,0
0,15.0,1,15.0,17,0,1,0,2.1,1
3,50.0,2,100.0,16,1,0,2,405.4,0
0,50.0,1,50.0,18,6,1,2,6.6,1
1,15.0,1,15.0,16,2,1,0,5.7,1
1,20.0,1,20.0,17,4,1,0,3.4,1
3,12.0,1,12.0,0,0,0,0,332.5,0
2,35.0,1,35.0,4,5,1,1,378.0,0
2,50.0,2,100.0,10,0,0,2,310.8,0
3,12.0,2,24.0,7,2,0,0,559.4,0
2,35.0,5,175.0,22,1,0,1,53.2,0
3,25.0,2,50.0,15,4,0,0,589.0,0
3,47.0,2,94.0,13,5,0,2,329.8,0
2,47.0,3,141.0,20,4,0,2,223.0,0
2,25.0,2,50.0,7,4,0,0,544.7,0
1,55.0,1,55.0,4,4,1,2,1.7,1
2,30.0,2,60.0,21,1,0,1,401.4,0
3,12.0,2,24.0,4,6,0,0,135.4,0
2,30.0,1,30.0,9,1,0,1,481.7,0
3,50.0,3,150.0,19,2,0,2,388.8,0
0,60.0,1,60.0,16,3,1,2,1.6,1
3,12.0,1,12.0,21,0,0,0,436.8,0
2,35.0,2,70.0,12,1,0,1,88.7,0
3,60.0,2,120.0,23,3,0,2,444.0,0
2,35.0,3,105.0,23,4,0,1,256.6,0
2,20.0,1,20.0,16,5,0,0,326.1,0
0,20.0,1,20.0,14,5,1,0,5.3,1
3,55.0,2,110.0,15,0,0,2,165.2,0
0,20.0,2,40.0,17,3,1,0,2.7,1
3,20.0,2,40.0,20,6,0,0,342.9,0
1,25.0,1,25.0,0,5,1,0,0.9,1
0,25.0,1,25.0,5,6,1,0,2.6,1
3,50.0,1,50.0,12,6,0,2,210.6,0
3,20.0,1,20.0,0,6,0,0,561.2,0
3,22.0,3,66.0,9,2,0,1,600.2,0
2,47.0,1,47.0,23,1,1,2,259.4,0
2,22.0,2,44.0,9,6,1,1,85.8,0
0,12.0,1,12.0,18,1,1,0,4.6,1
2,35.0,2,70.0,9,5,0,1,345.8,0
3,25.0,3,75.0,2,4,0,0,60.2,0
1,12.0,1,12.0,1,4,1,0,1.4,1
1,60.0,1,60.0,2,5,1,2,1.0,1
3,25.0,2,50.0,17,2,0,0,89.0,0
0,50.0,1,50.0,18,4,1,2,6.5,1
2,12.0,4,48.0,15,4,1,0,620.6,0
3,35.0,2,70.0,15,1,0,1,129.9,0
0,60.0,1,60.0,22,6,1,2,4.1,1
2,25.0,2,50.0,4,3,0,1,413.6,0
0,50.0,1,50.0,16,5,1,2,7.4,1
3,35.0,4,140.0,1,5,0,1,594.2,0
2,20.0,3,60.0,19,5,0,0,654.1,0
3,15.0,1,15.0,10,3,0,0,611.2,0
2,60.0,2,120.0,6,5,0,2,140.3,0
3,35.0,1,35.0,5,6,0,1,274.8,0
1,55.0,1,55.0,18,1,1,2,5.5,1
3,15.0,2,30.0,13,4,1,0,625.7,0
3,55.0,1,55.0,13,5,0,2,663.0,0
3,25.0,3,75.0,12,5,0,0,694.1,0
2,25.0,1,25.0,20,2,0,0,400.3,0
0,15.0,1,15.0,15,5,1,0,6.0,1
3,20.0,3,60.0,22,6,0,0,393.8,0
0,12.0,1,12.0,6,0,0,0,6.7,1
0,15.0,1,15.0,20,5,1,0,0.7,1
3,35.0,2,70.0,21,5,0,1,446.5,0
2,55.0,2,110.0,11,6,0,2,363.4,0
3,35.0,1,35.0,21,2,0,1,201.1,0
3,35.0,1,35.0,12,4,0,1,359.5,0
3,12.0,1,12.0,16,4,0,0,176.5,0
3,25.0,1,25.0,21,4,0,0,672.5,0
0,12.0,1,12.0,2,3,1,0,5.6,1
3,25.0,1,25.0,7,6,0,1,491.0,0
0,15.0,1,15.0,18,2,1,0,0.9,1
3,12.0,1,12.0,3,4,0,0,280.9,0
3,15.0,2,30.0,1,4,0,0,489.3,0
2,15.0,3,45.0,6,5,0,0,632.1,0
1,12.0,1,12.0,18,1,1,0,4.5,1
2,25.0,1,25.0,22,5,0,0,592.4,0
2,55.0,3,165.0,11,0,0,2,579.7,0
0,25.0,1,25.0,16,4,1,0,0.7,1
3,30.0,1,30.0,0,3,0,1,682.9,0
3,35.0,3,105.0,16,6,0,1,94.5,0
3,47.0,1,47.0,12,3,0,2,700.5,0
2,15.0,1,15.0,9,6,0,0,299.2,0
3,47.0,2,94.0,4,2,0,2,353.9,0
0,15.0,1,15.0,16,1,1,0,3.1,1
3,15.0,1,15.0,2,5,0,0,234.4,0
3,20.0,2,40.0,3,5,0,0,265.7,0
3,22.0,2,44.0,2,5,0,1,636.7,0
3,55.0,1,55.0,4,3,0,2,401.9,0
2,25.0,1,25.0,21,0,0,1,574.2,0
1,25.0,2,50.0,17,2,1,0,1.2,1
3,12.0,4,48.0,14,6,0,0,445.6,0
3,25.0,5,125.0,14,0,0,0,423.2,0
2,15.0,4,60.0,7,2,0,0,67.5,0
1,12.0,2,24.0,20,3,1,0,0.7,1
0,47.0,1,47.0,15,0,1,2,7.7,1
2,12.0,3,36.0,3,5,0,0,604.6,0
1,60.0,1,60.0,18,4,1,2,1.3,1
2,30.0,2,60.0,2,4,0,1,463.9,0
2,25.0,1,25.0,22,4,0,1,610.1,0
2,15.0,1,15.0,6,3,0,0,303.3,0
2,12.0,1,12.0,8,1,0,0,176.6,0
0,15.0,1,15.0,17,4,1,0,4.9,1
2,15.0,2,30.0,14,4,0,0,408.5,0
3,30.0,1,30.0,23,1,0,1,462.2,0
1,25.0,1,25.0,17,5,1,0,7.2,1
2,50.0,2,100.0,0,6,0,2,114.4,0
3,12.0,2,24.0,15,3,0,0,675.7,0
3,60.0,1,60.0,9,5,0,2,120.8,0
1,22.0,2,44.0,16,4,0,1,1.3,1
3,25.0,1,25.0,2,6,0,0,342.6,0
3,35.0,1,35.0,3,5,0,1,615.8,0
1,15.0,2,30.0,3,5,1,0,3.5,1
3,12.0,1,12.0,21,1,0,0,427.1,0
2,47.0,1,47.0,20,1,0,2,502.9,0
3,12.0,4,48.0,14,6,0,0,253.8,0
3,25.0,1,25.0,19,1,0,0,340.6,0
3,12.0,1,12.0,8,5,0,0,107.7,0
3,30.0,1,30.0,11,5,1,1,24.9,0
3,20.0,2,40.0,22,5,0,0,567.1,0
0,20.0,1,20.0,17,5,1,0,0.9,1
0,15.0,1,15.0,20,6,0,0,1.1,1
0,55.0,1,55.0,15,2,0,2,7.9,1
3,15.0,2,30.0,23,1,0,0,528.6,0
3,25.0,2,50.0,10,4,0,0,55.0,0
2,30.0,3,90.0,5,0,0,1,670.3,0
3,15.0,2,30.0,11,6,1,0,648.8,0
3,15.0,2,30.0,15,4,1,0,467.0,0
3,25.0,1,25.0,18,5,0,0,146.6,0
1,60.0,3,180.0,20,5,0,2,4.4,1
2,25.0,1,25.0,10,5,0,1,488.0,0
1,25.0,2,50.0,16,5,1,0,4.6,1
0,22.0,1,22.0,16,1,0,1,0.7,1
1,25.0,1,25.0,17,6,0,1,4.3,1
0,25.0,1,25.0,16,5,1,0,6.4,1
1,47.0,2,94.0,21,1,1,2,0.7,1
0,15.0,1,15.0,20,5,1,0,4.9,1
3,15.0,4,60.0,22,6,0,0,682.7,0
2,47.0,1,47.0,7,3,0,2,153.6,0
3,50.0,3,150.0,0,5,0,2,309.0,0
3,12.0,2,24.0,1,3,0,0,633.6,0
3,12.0,3,36.0,21,3,0,0,276.1,0
2,22.0,1,22.0,14,5,0,1,157.0,0
2,20.0,3,60.0,4,6,0,0,520.0,0
2,30.0,2,60.0,21,5,0,1,297.7,0
2,35.0,2,70.0,8,2,0,1,211.1,0
1,25.0,1,25.0,10,1,1,0,4.4,1
2,22.0,2,44.0,5,0,0,1,665.0,0
2,60.0,6,360.0,5,5,0,2,257.6,0
3,25.0,1,25.0,16,0,0,1,288.8,0
0,12.0,2,24.0,18,5,1,0,5.1,1
3,35.0,1,35.0,18,5,0,1,323.0,0
3,25.0,1,25.0,10,5,0,0,626.2,0
2,50.0,2,100.0,13,2,0,2,458.9,0
2,12.0,1,12.0,11,4,0,0,224.2,0
0,20.0,1,20.0,15,0,1,0,3.2,1
3,25.0,3,75.0,12,5,0,0,570.3,0
2,15.0,4,60.0,17,1,0,0,679.1,0
0,25.0,2,50.0,16,0,1,0,6.0,1
3,30.0,1,30.0,2,4,1,1,210.9,0
3,30.0,1,30.0,19,4,0,1,230.9,0
3,22.0,2,44.0,5,4,0,1,198.6,0
2,15.0,1,15.0,3,6,1,0,682.9,0
3,25.0,2,50.0,3,6,0,0,512.0,0
3,25.0,3,75.0,9,5,0,0,301.7,0
3,55.0,3,165.0,17,5,0,2,88.5,0
3,35.0,2,70.0,18,2,0,1,434.3,0
3,12.0,1,12.0,14,0,0,0,538.2,0
0,20.0,1,20.0,16,5,1,0,2.1,1
1,35.0,1,35.0,20,6,1,1,4.6,1
3,35.0,2,70.0,16,6,0,1,664.9,0
0,35.0,2,70.0,18,4,1,1,3.6,1
3,25.0,1,25.0,17,4,0,0,598.0,0
3,25.0,1,25.0,23,4,0,1,669.3,0
0,55.0,2,110.0,17,5,1,2,6.4,1
2,22.0,2,44.0,3,3,0,1,667.5,0
1,15.0,3,45.0,16,2,1,0,7.4,1
2,12.0,3,36.0,8,5,0,0,78.0,0
1,12.0,1,12.0,18,5,1,0,3.8,1
3,25.0,1,25.0,12,2,0,1,139.0,0
2,20.0,4,80.0,10,2,0,0,533.8,0
3,15.0,1,15.0,13,6,0,0,140.2,0
3,25.0,4,100.0,14,1,0,1,548.7,0
3,47.0,1,47.0,21,1,0,2,424.5,0
2,47.0,1,47.0,16,6,0,2,167.6,0
0,50.0,1,50.0,19,2,1,2,5.5,1
3,60.0,2,120.0,23,3,0,2,547.8,0
0,15.0,2,30.0,15,5,0,0,6.9,1
2,25.0,4,100.0,1,5,0,0,70.6,0
3,20.0,3,60.0,17,0,1,0,285.3,0
2,25.0,1,25.0,13,0,0,0,283.3,0
3,15.0,3,45.0,10,5,0,0,602.6,0
2,35.0,2,70.0,7,4,0,1,320.5,0
3,12.0,1,12.0,11,1,0,0,540.6,0
3,25.0,4,100.0,20,3,0,1,479.3,0
3,15.0,1,15.0,15,6,0,0,164.8,0
1,15.0,1,15.0,17,5,1,0,4.9,1
3,25.0,3,75.0,14,1,0,0,467.2,0
2,35.0,1,35.0,3,5,0,1,597.3,0
2,15.0,1,15.0,4,0,0,0,544.5,0
0,20.0,1,20.0,17,4,1,0,0.8,1
0,50.0,2,100.0,18,0,1,2,1.2,1
0,55.0,2,110.0,18,3,1,2,6.5,1
3,35.0,3,105.0,10,3,0,1,274.9,0
2,20.0,3,60.0,23,0,0,0,458.1,0
0,25.0,1,25.0,16,5,1,1,3.4,1
2,20.0,1,20.0,18,2,0,0,628.4,0
1,20.0,2,40.0,18,5,0,0,6.5,1
3,30.0,1,30.0,23,6,0,1,679.4,0
3,15.0,2,30.0,0,4,0,0,466.6,0
3,35.0,3,105.0,17,4,0,1,37.3,0
3,25.0,4,100.0,23,6,0,1,687.7,0
3,12.0,3,36.0,7,5,0,0,437.5,0
1,47.0,2,94.0,18,5,0,2,2.1,1
0,30.0,1,30.0,15,5,1,1,2.1,1
2,22.0,1,22.0,6,0,0,1,327.0,0
2,25.0,2,50.0,11,1,1,0,141.0,0
3,25.0,1,25.0,7,2,0,0,103.6,0
2,15.0,1,15.0,6,5,1,0,278.5,0
2,35.0,1,35.0,23,5,0,1,131.8,0
3,25.0,1,25.0,9,6,0,1,375.8,0
3,12.0,1,12.0,9,3,0,0,596.4,0
3,22.0,1,22.0,16,5,0,1,624.1,0
0,25.0,1,25.0,17,3,1,0,4.0,1
0,12.0,2,24.0,16,5,0,0,3.9,1
3,35.0,1,35.0,13,2,0,1,472.7,0
3,15.0,1,15.0,20,5,0,0,217.9,0
3,12.0,3,36.0,5,5,0,0,284.7,0
2,20.0,1,20.0,19,4,0,0,492.2,0
0,12.0,1,12.0,17,3,1,0,0.9,1
3,30.0,5,150.0,17,6,1,1,684.2,0
3,22.0,3,66.0,15,5,0,1,452.2,0
3,20.0,3,60.0,12,5,0,0,493.4,0
0,15.0,1,15.0,17,6,1,0,0.9,1
1,60.0,1,60.0,15,2,1,2,3.0,1
3,22.0,1,22.0,7,2,0,1,163.1,0
3,20.0,1,20.0,22,4,0,0,669.4,0
0,35.0,3,105.0,16,4,1,1,0.7,1
2,22.0,2,44.0,1,2,0,1,455.3,0
0,55.0,1,55.0,18,1,1,2,5.8,1
3,60.0,3,180.0,9,4,0,2,263.0,0
2,12.0,2,24.0,14,6,1,0,137.3,0
2,30.0,3,90.0,21,2,0,1,484.7,0
3,25.0,1,25.0,16,6,0,1,28.8,0
3,15.0,2,30.0,3,6,0,0,242.5,0
3,30.0,3,90.0,19,6,0,1,107.4,0
3,25.0,1,25.0,20,5,0,0,430.2,0
3,47.0,2,94.0,2,6,0,2,418.4,0
2,15.0,1,15.0,4,2,0,0,92.7,0
3,55.0,2,110.0,0,1,0,2,511.0,0
2,25.0,3,75.0,21,3,0,0,318.8,0
2,47.0,1,47.0,11,4,0,2,388.4,0
3,22.0,4,88.0,16,3,0,1,77.2,0
2,35.0,4,140.0,16,5,0,1,273.4,0
0,12.0,2,24.0,17,4,1,0,2.8,1
3,22.0,2,44.0,19,5,0,1,197.8,0
3,20.0,3,60.0,22,3,0,0,380.6,0
3,15.0,1,15.0,15,1,0,0,56.6,0
3,25.0,1,25.0,13,5,0,0,217.6,0
3,20.0,1,20.0,12,6,1,0,518.2,0
3,15.0,1,15.0,23,5,0,0,347.4,0
3,15.0,3,45.0,6,6,0,0,533.1,0
2,12.0,2,24.0,22,3,0,0,372.3,0
2,22.0,3,66.0,2,5,0,1,600.6,0
3,12.0,1,12.0,5,6,0,0,330.6,0
3,15.0,2,30.0,22,5,0,0,343.9,0
2,12.0,1,12.0,22,5,0,0,314.4,0
1,15.0,1,15.0,16,2,1,0,6.5,1
3,12.0,1,12.0,12,4,0,0,236.0,0
2,22.0,4,88.0,16,5,1,1,30.7,0
2,20.0,2,40.0,11,5,0,0,277.4,0
3,20.0,1,20.0,14,5,0,0,381.2,0
2,20.0,1,20.0,20,6,0,0,85.0,0
2,30.0,4,120.0,9,3,0,1,485.3,0
2,47.0,1,47.0,9,2,0,2,169.2,0
3,25.0,3,75.0,15,1,0,1,143.2,0
2,15.0,1,15.0,21,2,0,0,258.8,0
3,20.0,1,20.0,8,3,0,0,403.7,0
2,25.0,2,50.0,1,5,0,1,44.9,0
3,15.0,3,45.0,18,3,0,0,709.7,0
3,12.0,2,24.0,13,5,0,0,40.4,0
3,15.0,6,90.0,16,5,0,0,643.4,0
3,35.0,6,210.0,18,1,0,1,111.7,0
1,25.0,1,25.0,18,2,0,0,0.5,1
2,12.0,2,24.0,12,5,0,0,484.2,0
0,60.0,1,60.0,18,0,1,2,3.1,1
3,25.0,2,50.0,15,4,0,0,43.4,0
3,35.0,4,140.0,1,3,0,1,59.1,0
3,25.0,4,100.0,23,6,0,0,261.3,0
1,50.0,1,50.0,23,2,1,2,5.0,1
2,25.0,2,50.0,4,5,0,1,484.6,0
1,60.0,2,120.0,12,5,1,2,1.4,1
3,55.0,1,55.0,7,3,0,2,224.6,0
2,47.0,4,188.0,22,0,0,2,591.4,0
3,25.0,1,25.0,12,0,0,0,712.2,0
3,20.0,1,20.0,23,5,0,0,305.7,0
2,22.0,4,88.0,16,5,0,1,364.4,0
3,55.0,1,55.0,11,5,0,2,422.6,0
2,35.0,2,70.0,21,1,0,1,238.0,0
0,20.0,1,20.0,17,6,0,0,4.9,1
2,25.0,3,75.0,10,3,0,0,467.9,0
3,20.0,2,40.0,0,5,0,0,704.0,0
2,60.0,1,60.0,5,6,0,2,411.3,0
1,50.0,1,50.0,16,4,1,2,7.7,1
0,20.0,3,60.0,12,0,0,0,4.9,1
2,50.0,1,50.0,16,6,0,2,98.0,0
3,12.0,2,24.0,14,6,0,0,453.0,0
3,30.0,1,30.0,8,3,0,1,149.6,0
3,30.0,2,60.0,1,4,0,1,50.5,0
0,15.0,1,15.0,16,1,1,0,6.5,1
3,35.0,2,70.0,2,3,0,1,129.4,0
3,47.0,2,94.0,21,1,0,2,355.9,0
2,30.0,1,30.0,22,4,0,1,250.7,0
3,47.0,3,141.0,9,6,0,2,359.0,0
2,25.0,2,50.0,10,1,0,1,116.0,0
3,25.0,2,50.0,5,1,0,0,174.6,0
3,22.0,3,66.0,23,0,0,1,410.1,0
3,22.0,1,22.0,6,5,0,1,445.1,0
1,20.0,1,20.0,16,1,1,0,6.8,1
2,55.0,1,55.0,14,3,1,2,440.2,0
0,25.0,1,25.0,17,2,1,0,1.0,1
2,12.0,1,12.0,6,4,0,0,92.2,0
3,15.0,1,15.0,7,5,0,0,230.4,0
